784,132,880,132,880,165,784,165,0.9997336
144,466,368,466,368,508,144,508,0.99970835
176,55,496,55,496,97,176,97,0.9997081
144,390,224,390,224,415,144,415,0.9997068
336,175,688,175,688,289,336,289,0.99970573
176,88,464,88,464,118,176,118,0.99970514
432,421,640,421,640,466,432,466,0.9996972
720,93,880,93,880,132,720,132,0.9996966
144,316,880,316,880,373,144,373,0.9996878
736,468,944,468,944,539,736,539,0.9996835
480,402,624,402,624,421,480,421,0.9996811
144,0,336,0,336,353,144,353,0.9996778
624,552,960,552,960,591,624,591,0.999673
