384,128,720,128,720,190,384,190,0.99961853
272,420,384,420,384,438,272,438,0.99961
624,478,720,478,720,507,624,507,0.99959666
144,168,480,168,480,193,144,193,0.99959415
144,128,384,128,384,170,144,170,0.9995715
80,413,160,413,160,433,80,433,0.99955875
576,451,720,451,720,480,576,480,0.9995223
80,355,224,355,224,404,80,404,0.9995221
304,353,512,353,512,400,304,400,0.9995122
528,123,608,123,608,152,528,152,0.99950206
48,127,144,127,144,198,48,198,0.99948895
144,203,304,203,304,221,144,221,0.99948114
208,459,272,459,272,475,208,475,0.9994766
208,439,400,439,400,471,208,471,0.9994548
144,217,320,217,320,233,144,233,0.9994351
