656,235,752,235,752,388,656,388,0.99970204
112,383,176,383,176,403,112,403,0.9997003
672,453,768,453,768,483,672,483,0.9996741
112,414,192,414,192,431,112,431,0.9996706
352,426,416,426,416,441,352,441,0.9996642
112,294,656,294,656,389,112,389,0.9996519
112,444,288,444,288,484,112,484,0.99965155
176,188,272,188,272,213,176,213,0.99965024
176,117,560,117,560,164,176,164,0.9996363
176,163,512,163,512,187,176,187,0.9996278
336,411,416,411,416,427,336,427,0.99962676
528,558,832,558,832,583,528,583,0.999616
608,420,768,420,768,454,608,454,0.99961096
