432,248,544,248,544,294,432,294,0.99968123
96,117,336,117,336,175,96,175,0.99967957
96,187,336,187,336,204,96,204,0.9996551
544,399,672,399,672,428,544,428,0.99964917
240,294,320,294,320,327,240,327,0.9995883
272,386,304,386,304,402,272,402,0.99958557
544,492,815,492,815,565,544,565,0.9995826
528,192,688,192,688,241,528,241,0.99957925
112,320,688,320,688,367,112,367,0.99956924
512,127,688,127,688,187,512,187,0.99955887
256,394,416,394,416,421,256,421,0.9995584
576,428,672,428,672,454,576,454,0.9995566
96,204,336,204,336,217,96,217,0.9995511
480,214,528,214,528,247,480,247,0.9995473
368,287,480,287,480,325,368,325,0.9995454
160,164,336,164,336,183,160,183,0.9995413
288,371,400,371,400,387,288,387,0.99953854
